author,comment
e*****6,"Harga terjangkau, kualitas bagus bangett, packing aman, cepet banget pengirimannya, ga nyesel beli disiniii"
landi141004,"Pokoknya Joss lah wkwk
Iavauabajakalwkbagavahajqbnqknn"
p*****d,Brangny sdh nympek kain nya ya gak tipis sesuai dgn Hrga lah ya😂blum tau jg itu luntur apa ngk klo dicuci..
rohenk,"Udh langganan, pengemasan dan pengiriman cepat, tp  size m ga seperti biasa ny ini lebih kecil, beda dngn yg dlu pernah beli..padahal keterangan ukuran sma.."
m*****i,Ya ya ya aku tak mau menjadi manusia monster manusia monster yang selalu makan donat
s_choririyah,Produk original..sangat bagus sekali dan suka..terima kasih erigo
iraa311,Terima kasih shopee barang bagus pengiriman barang oke kualitas bagus makasih shopee kurir ramah 👍
asnahanayati,"Udah 2x belanja disini,ga pernah kecewa sama barangnya..
Gilaaaa ne mah keren banget,sablonanya bagus 🤭
Tapi sayang size S dibody aku pas,cuma dilehernya aja yg kecengklak kekecilan 🤭🤣🙈"
alinseptiana2,Bagussssssssssssssssssssssssssssssssssssssssss dikirim sesuai pesanan mantul untuk ukurannya
novasaptuningrahayu,Bahannya lumayan baguslah dengan harga di bawah 100 ribu..semoga suami suka.
j*****s,"Belum sempet di foto, tapi ike banget. Bakalan order lagi dong"
d*****x,Bagus juga ini cuma lagi di cuci juga karna belinya barengan
isma_handayani2021,nshshskqqkshyssuoakwwwywysududioeoekejjeheydudwjwkmwke
ridwanmohamad092,"Kualitas produk sangat baik, produk original, sesuai harga"
a*****6,Sorry gak foto soalnya udh langsung laku wkwkwk jamgan diragukan buat kualitas
garenkpordjo,"Terahir beli di toko ini,saya belanja ditoko ini bukan sekali dua kali tapi sering giliran salah alamat dan minta pembatalan tdk di acc padahal lgsng saya order ulang dgn alamat yg bener tadinya responya oke giliran pembatalan lelet dan ga bisa dicancel"
diansusanti204,Barangnya sesuai. Dan adek saya suka dg bajunya. Terimakasih ERIGO 🥰🥰😍😍
a*****f,"Barang nya bagus sesuai dengan di Foto
Pengiriman nya juga cepat 👍"
azmilrj10_,"Produk bagus banget,original,  bahannya lembut, harganya murah tapi kualitas barangnya mewah banget"
a*****1,"TEbaaiiiqqqq ERIGO ..
brang 2hr sampaii...
trims...sesuai psanan..👍👍👍"
nurhidayani1234,"Prodaknya bagus, sesui pesanan. Dapat bonus stiker, terima kasih seller."
bobyadiargo,"Kualitas mantap, sesuai dengan pesanan. Recommended lah."
andirizkichaerunnisa,pengiriman cepat dn memuaskaaan nnnnn nnnnnnnnnnnnnnnnnnn
arif.darmawan1138,"Bajunya alus banget, bagussssssss. Sering2 diskon min. Tengkyu😉"
a*****3,"Pengiriman sangat cepat baru kemaren cekout hari ini udah nyampe, terimakasih sangat memuaskan sekali 😍😍"
nurhidayatraden,"Terimakasih, Alhamdulillah barangnya bagus banget... Cepat sampainya..."
d*****f,"pengirimannya cepat sekali, produk ori, erigo bagus selaluu"
h*****y,Kereeennnn. Produk erigo emang gak pernah gagal. Kaosnya bagus. Kualitas sablonnya keren parah.
e_crtn_,"fav produk dri indonesia, ga mengecewakan, kain ga tipis juga"
ayyaisah,"Alhamdulillah barang sudah sampai dengan cepattt dan harga murah , produk original , sukses selalu erigoo thanks bangettt"
s*****s,"keren
pengiriman cepat
sukses erigo and Shopee.........."
hajarniswan,Mksih pesanannya udh smpai🙏🏻Pokoknya produk erigo mmang mantul👍🏻😇
t*****9,"Bagus.... pengiriman cepat, pengemasan rapi, sesuai pesanan harga terjangkau"
t*****g,"Bahan Kaos dingin, tebal, sablon bagus, desain gbr unik menarik, dapat stiker lucu(maaf lupa foto stiker), respon pengepakan& pengiriman cepat. Produk buatan Indonesia yg berkualitas. Terima kasih😀🇮🇩"
k*****8,Bbbbbbbbbbaaaaaaaaggggggguuuuuuusssssssbbbbbbaaaaaannnngggggggeeeeettttt
satriamandala3010,"Sampainya cepat, kaosnya sedikit tipis tetapi adem dipakai buat tidur, mantab😊🍦"
i*****4,Barang ori aku suka banget terimakasih seller erigoo bisa nih next time beli lagii yg gambar lain koleksian baruuuu buat jelong jelong lahhh wkwk
candra_kristanto,Kaos sudah saya Terima dengan baik dan terimakasih untuk kurirnya barang yang berkualitas dan mantab..
fitriarumss,"Pengiriman cepat, kemarin pesen hari ini nyampe, kaosnya mayan tipis sih tp enak dipake"
anisahdewii,Pertama order langsung suka sama kaosnya. Thank you seller
a*****k,"Bagus murah pas enak dipakai dan sampainya lumayan cepat, pengemasan gercep"
h*****1,"Packingan oke, Pengiriman cepat, Kainnya bagus okelahh, dapat diskon lagii"
n*****s,"Terimakasih, barang nya mantaap. Semoga adek saya sukaaaa"
rhama0110,"Barang sudah diterima dengan baik,,,
Bahan'y bgs adem...
Mksh ya....."
ariestayuliyanti,Bagusss bgttttt. Bakalan beli trus buat suamiikkkkkkkkkkk
a*****i,"Alhamdulillah,,akhirnya yg d tunggu"" datang juga😍 Barang oke sesuai keinginan👍👍"
d*****f,"Pengennya dipake oversize, beli yang ukuran L tapi kayanya kurang gede.. next deh beli yg xl"
isnai.1504.niyah,Alhamdulillah barang nya bagus sekali gk pernah kecewa
a*****a,Sukaa bangett pokoknya dehhh.. pengirimannya juga cepet👍👍
yusendiocariansyah,"Pengiriman cepat, respon penjual baik dan ramah, packing aman dan rapi, recomen pokok nya"
g*****4,"kualitas gak diragukan lagi
berkali kali gak mengecewakan"
tryawahyudha,Pengiriman barang cukup cepat dan bajunya juga bagus tidak mengecewakan. Suka banget
n*****i,"Demi apa ini bagus banget, rapi, pengiriman cepat. sukaaa!
Terimakasih"
atikkusrini888,"Produknya sudah sampai, saya puas kualitas reall recommended bangettt 🤗 free sticker lagi 🤭"
frangky98,Erigo t-shirt project summer black bagus bahannya saya suka
feny_bags,"Suka sama gambar yg gede dan warna warni. Hehehe..... Anak saya suka pakai merk ini. Cocok dan adem bahannya pas dipakai. Size nya juga XXL, pas utk anak cowok saya yg tinggi menjulang."
r*****i,Mantap bajunya langsung dipake naik gunung Lawu huhuhuhuhuuhuuuuu
elgaikapuspitasari23,"Bagus tapi yg dragon kainnya tipis banget yg summer tebel, makasih juga dapat free stiker"
s*****8,"Udah 2× belanja disni dan selalu puas diskonnya pun besar"" thanks seller"
muftisn99,"Luar biasa pengeriman tercepat dikampung saya, cuma 2 hari langsung sampe itu pun pagi pagi jam 9 pagi sudah sampe rumah saya. XXL cukup buat saya namun ada baiknya kalo ada ukuran 3xl"
j*****n,"Respon pelapak baik,cepat,pengiriman cepat,barang baik👍👍👍👍👍👍👍👍👍"
kakakyukidekunna13,Kali suka deh sama Erigo gua baru pertama kali beli sih mudah-mudahan seterusnya banyak peminatnya ya
wulansitif03,"Bajunya udh keburu dipke. Dn smpemya cpt bgt 
Untuk kain agak tipis ya tpi ttep bagus bgt suka motifnya juga . Kereen"
a*****i,"Yaaah pas unboxing ternyata ada minus nyaaa, tolong sblm di paking di cek kembali yaaaa admin 🙏"
frcloth1,Barang sudah diterima blm dicoba semoga bermanfaat thankss
syawalkikaliah17,Pertama kali beli baju erigo.... Pas dateng seneng bgt karna bahan nya bagus..... Harga nya pun terjangkau 😁
c*****a,"kaosnya bagus gak ada masalah bahannya tebel dipake adem, makin sukses Erigo✨"
eniikas,Katanya sih bagus.. Tapi ntah sudah di ambil sama penerimanya... Ehahhahahahahahahahahhahahahahahaha
_khamim123,Barangnya udah nyampai bagus suka banget mantapppppppppppppp
sindykeduaa,bagus banget fix no debat pokonya tebel banget uda langganan juga
sryfitry,Bagussssssss bangettttt syukaaaaaaaaaaaaaaaa😍😍😍😍😍😍😍😍😍
abrarramadhan,Bahan bagus..sablon bagus.. pengiriman Cpt.. packingan rapi..harga terjangkau...smoga bisa terus langganan
m*****5,"Paket mendarat dengan aman terimakasih, bahanya adem bagus nggak ada yg cacat terimakasih 🤩🤩"
i*****m,Baju nya keren tapi EMG tipis si. Tapi asli adem . Thx erigo pertahankan kwalitas. Dan tolong tingkatkan lagi kwalitas sablon nya hhi
u*****u,"Baguuussss banget, pengiriman jg cepat.. adminnya ramah 👍🏻👍🏻👍🏻"
a*****a,semoga bagus bajunyaa soalnya blm ku buka wkwk mau ku kasih ke cowo aku nih 🥰🙈
m*****r,"Local pride punya pastinya paten, ekonomi bgt. Terbaiklah"
sitirezeki13,Sama seperti yang lain bahannya adem.. Cuma yang ini lucu dapat stiker. Hehhe
shendyy,"Makasih ya min. Cepet banget sampai nya
Kaos nya juga adem. Adek ku suka. 
Next bakal langganan terus."
tryindahzhitorus,"Bener² dehh kenapa bisa produk ini sebagus itu 
Kan jd mau beli lageeee"
ajengaprilianaa,"Siapa si yang belum tau brand erigo?? Aku ga usah ngejelasin panjang kali lebar kan ya buat brand ini?? Udah banyak diskon bahan juga nyaman bangett! 

Btw maaf banget foto dan video ga sesuai karena ngga sempet aku foto dan video hehe"
v*****r,"Bagus, muat. Pengen koleksi yg lain. Kapan ya ada diskon promo heheheh"
ayuselvya,Barang sudah sampai lumayan lama tp gpp lah barangnya sesuai dgn pesanan trimakasih semoga amanah selalu untuk jualannya dn smg ori dn awet
s*****i,Bagus bajunya sablonnya juga beli buat kado ponakan semoga sih pas💜👍🏻
iwear.dnd,"Terimakaish erigo. Sering sering promo yaa.
Dan ini packing & oengiriman cepet bgt sampainya 😍"
etiherna20021982,"Ini ud bli yg ke 4x kaos erigo.... al hasil PUAS akn barang yg dtng,, real👍gk mengecewakan... barang ori,, kwalitas ok pokok'y the best lah buat ERIGO
Pertahankan yaaa sis biar buat pelanggan merasa puas😍😍"
y*****n,"Kemaren pesen size S kekecilan, ini size M muat dong lucu banget besok mau beli lagi"
i*****f,Gapernah kecewa sama produk erigo. Bahannya halus dan lembut. Gaperlu diragukan lagiii
rni_96,Memuaskan  sesuai expetasi next order lagi disini 🙏💕 engga kecewa 👋😁
r.ay.lestari,"Mantul produknya wort it to buy, alhamdulillah dpt harga promo hehe makasih seller semoga kualitas makin ditingkatkan lagi yaa"
ekadamaiyanti02,Bajunya bagus. Bahannya halus. Sepertinya adem kau dipakai. Thx ya
munzirmubarok,Mantap bahanya origgggggggginalllllll gooooooooddddddd laaahaahh  pokoknya
nenkmia37,"Bahan lembut, kualitas oke, sesuai dengan yang ada di gambar, semoga awet.. 
Dan in syaallah langganan.. 
Thank you erigo ☺"
ernafitriana02_,Paket sudah sampai bahan adem banget sayang ukuran XXL nya kurang besar jd kurang leluasa buat orang yg badannya besar selebihnya oke banget👌👍👍👍👍👍👍👍👍👍👍👍👍👍
merli_ew,"Bahan halus dan bagus, sangat rekomen untuk dibeli..."
liliameliya,"Kualitas produk sangat baik, produk original, harga produk sangat baik, kecepatan pengiriman sangat baik, respon penjual baik"
2*****a,Bahannya slalu premiummm yaaa adem bgt bagusss🥰🥰mau kadoin buat paksuami psti seneng hihiw thankyou erigo💙pembelian kedua gak perna mengecewakan
lia_areis,
meilaanjar,Sempet kehabisan.. dan akhirnya dapet jugaaa.. seneng bgt.. terimakasihhh
gracenataliaa,"bagus bangett, doiku suka bgtt! dpt free sticker jg xixi..XD"
i*****x,"Bahan nya alus bagus pkonya , dapet stiker jga , soalnya bru pertama kali belanja d sini hehe"
achmadsyahlan,"Recomended seller,brg original,respons nya mantap,packing nya rapih,brg aman sampai tujuan salam sukses yaaaa"
yohanaintanrosaria,Pengiriman cepat kaosnya adem halus anak saya suka pas gambarnya
viony79,"Kualitas produk bagus,pengemasan sangat rapi,harga sangat murah,ukuran size juga cocok...trima kasih"
antariiin,Bagus bangett
maadinal,"Pengiriman nya cepat 
Barang sesuai pesan pokok nya keren nihhh"
ovinirmaaa,Bahannya beda sama yang sunayama yang ini lebih tebal dan kasar dan ukuranya agak kecil daripada sunayama
danilpurbawisesa,Cuss lah d order produk lokal tapi mendunia cocok buat kaum millenial kaya kita kita cuss lah pada beli
a*****2,"Alhamdulillah barang dtg sesuai pesanan.
Trmkasih erigo..."
yulianti_khansa,"Best banget pokok nya,nagih💕
Makasih erigo...makasih shopee"
fabelltharyanz,sesuai pesanan .. terimakasih shopee seller n abang kurir .niatnya buat anak saya yg umur 12 th.ternyata gedean jadi saya pakai sendiri
f*****m,Kualitas produk baik bagus bangetttt adem enak nyaman banget...
herlinaefendi85,"Paketnya sudah nyampek kak, alhamdulillah sesuai pesanan, Terimakasih 🙏"
d*****3,"Bagusss sekaliii, bakal jadi langganan nii terima kasi Kaka❤️"
sarita123456,"🙏enggk ad vdio cma foto☺
Asli bagus adek aku suka banget"
vivimanroe,"Udah dua kali beli disini,, bahannya adem,, makasih seller n shopee"
eviyulli05,"Overall baguss si, semoga temenku suka yuhuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuyuyyyyyyygygyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyuyyyyyuuyuuyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
Kakskdjjdjxhxhxhhxuxhxjzjxbjdjzjxjjdjxjcjjcmzjxjzkzjcjxnnxjxnxnxnxnnxnxnxnxnxnncbxbbxbbxhhxbxbxhxbxhxhhxhhxhxhdhxhhx"
f*****a,"Bahan adem nyaman d.pakek..
Harganya terjangkau pula......
Pengiriman.nya cepettttt...
Thanks sellerr..."
mardiputrajaya,"Baju nya bagus bahan nya tebal dan tdak panas ERIGO mantap ga nyesel beli nya puas bangat, kurir langganan super ramah dan sopan, thx shope😍😍😍"
i*****o,"Produk original, pengemasan aman, pengiriman cepat. Baru pertama kali order, mumpung harga promo. Bahannya bagus banget. Terimakasih 🙏👍"
d*****d,"Bagus bgt, realpict kok dan pengiriman juga cepet.. next bakalan order lagi deh hehe. Packaging juga bagus rapi dan bagus dehh"
serlyy26,"Sukaaaa bangettt
Nexttt order lagi tunggu 12.12 🥰🥰🥰🥰🥰🥰🥰🥰🥰"
ziaradisti26,"Terimakasih erigo, untuk hadiah suami. Semoga suka. Sukses terus 😊"
rovi_nur,Jos lah poko nya pengiriman cepat sekali menangkap..
f*****7,"Pengiriman cepat, bahan adem lembut sekali harga jga terjngkau."
wulansaumadhani,"Bahan nya bagus dan lembut, udah 2 kali pesan di sini, recommend bgt sih."
0*****y,"Baguussss sukaaaaa,,buat kasih orang semoga sukaaa"
a*****l,"Emang erigo ga pernah mengecewakan, pesan kemaren besoknya langsung sampe. Gabisa berkata2 lagi pokonya biar bintang yang berbicara."
r*****d,"UKURANNYA GA UKURAN NORMAL NJIR, ini gua pake L biasanya masih aga longgar, kok yg L ini ngepres njir, bahan sama degsin bagus sih"
amri1278,Erigo memang keren dan bagus klau kualitas kyk ny bagus soalnya blm tau juga ya karena baru coba juga
v*****i,"Yuhuuu bajunya udah datangg, pengirimannya super cepat syekali. Pokoknya mantulllll dah 👍👍"
dhanchndra,"mantaff bajunya, kainnya adem, suka bnget, ganyesel punya baju ini😁"
m*****a,"Barangnya bagus, sesuai. Pengiriman juga cepat. Maaf foto sama video gak sesuai, barangnya udh dikasih ke yg punya"
rzl02,"Barang Bagus Sampe dengan selamat, Erigo Emng Yg terbaiklah, Tapi Kayaknya tulisan Erigony Udah Agak Menguning, Atau EmangGitu? Tapi Gpp Gak Terlalu Keliatan Kalo Gak Terlalu diperhatiin 👍👍"
ririneris,Bahannya bagus banget. Pasti bakal nyaman dipake. Semoga suka tentunya ya.
p*****5,Matur Suwun Sam Barang Sudah Sampai. Pengiriman dari Tangerang ke Blitar 4 Hari. Next Kalo ada rezeki beli Lagi
i*****3,"Terimakasih kakak...pesanan sudah sampai,ma'af baru sempat kasih penilaian,kaosnya bagus,bahan bagus,dpt stiker jg...packing rapi,pengemasan dan pengiriman jg cepat..."
2*****p,"Pesanan sudah diterima, pengiriman agak telat dari biasanya tapi gak masalah. Kualitas ok sesuai harga."
e*****9,"Bagusssss sih, tingkatkan terus ya min. Pengiriman lumayan cepat."
b*****i,kerennn banget sihh ini.. dpet erigo kualitas okeee dg harga super murcee . ahh sukses sll erigo.. sll menyajikan barang berkualitas tp jg terjangkau yaah
idapwti94,"Bajunya pas sesuai pesanan customer sy, makasih ya min"
a*****a,Kaos nya lucuu sesuai dngn keinginan bagus ga usah diragukan lagi maksih erigo
nkaald14,"Super duper lembut pokonya,bagus banget gak gerah di pake. Makasihvya"
mukayati808,Kaosnya bagus banget.. sablon nya juga bagus.. tebel.. lembut.. thanks erigo
jihannf.id21,Udah ga diragukan lagi erigo mahh kerennn. Pengiriman cepat packing juga aman. Mantap lahhh😍😍😍😍😍😍
fabelltharyanz,semua oke sesuai pesanan pengiriman cepat .thanks semua yg udah bekerja sama dalam proses orderan ku ..
sharlaamh,thankyouuu!! the package are arrived safely and the size are suit on me 🥳🥳🥳🥳
gerryprihandana,"Sudah langganan di erigo, karena memang bgus kaos2nya dan harga juga ramah di kantong.. Go go international"
aellindrilestarina,"Bahan lumayan bagus, tapi tidak selembut yang sy kira, tp tetap suka thanks"
yogipratama21,"Sesuai pesanan, pengiriman cepat sekali, paking aman, terimakasih."
i*****e,"Udah 2 x order kaos Erigo, bahannya adem, pas di badan, sablonnya ga pecah, no reject. Seller fast respon, pengiriman cpt. Recommended bgt. Thanks yaa.. 🤗👏👍"
santi_sintiawati96,"Gak pernah kecewa deh beli disini mah ,pokoknya TOP lah😍😍😍😍"
k*****n,
lenovv,Pengiriman sangat cepat. Harga sangat terjangkau. Bahannya sangat adem dan nyaman saat dipakai. Recommended bangett dehh
feriyana.se,"Baju nya sesuai req, size pas bgt di suamiku untung ambil ukuran yg paling besar haha thx seller, kurir dan shopee erigooo bahan ga usah di ragukan lg yaa.. maap foto dan video beda karna bajunya lg di cuci hehe"
b*****s,Kerewennn banyakin dong model terbaru dgn harga yg murceeww...
cahayu_ayhuu,Foto gak sesuai maaf yah tapi paketan di terima dengan baik kainnya juga tebal dan adem
n*****a,"Pengiriman sangat cepat sampai dan stock barang lengkap,barang datang dengan komplit tampa ada yang kurang"
enuyyani,Yg green bagus bahannya juga bagus adem banget cocok banget dibadan ponakan aku .. tapi kalo yg item terlalu pendek tangannya terus juga bahannya agak tipis
hilya_zahara,"Pokoknya ndag nyesal pesan di erigo. Pengiriman cepat, kulitas oke. Terima kasih"
garnisas,Alhamdulillah sampai dengan selamat bahannya lembut bagus original hehe thnxu next order
a*****3,"Semua sesuai dengan pesanan tambah variasi warna dong min ini dominan hitam terus,warna toska gitu min bagus"
lianda1997,"Bagus banget ,bahannya lembut dan dingin banget ,emang erigo Bagus banget"
r*****a,"Semogabsuami suka, Biar bintang yg berbicara bahannya bagus sesuai ekspetasi :) terimakasih seller"
s.novitaandriani,Waaah dah sampe tadi siang tp belum sempet unboxing nih😁😁  pengiriman cepat bgt luvv🤩 semoga yang dibeliin syukak 😅😅
sriindasah,"Mantullllllll 
Ukurannya agak kekecilan ama anakku,
Tapi its oke, ttp dipake jadi junkish sama persisama yg di foto.
Anakku suka bangetttttttttttt
Pas lagi dapat harga diskon pula, aseeekkkkk.
Terimakasih Erigo
Terimakasih shopee
& Terimakasih juga babang kurir"
g*****s,"Kulitas harga produkk okeee, walau sedikt kecewa karena pengiriman lama sekali"
satria451,"Aduh kemarin baru sampai paketan erigonya, sekarang datang lg.candu erigo pokoknya, bismillah semoga menang Honda beat aminn"
angageulisandokasep,Sesuai gambar bhn ny lmbut dingin. Sablonan ny jg padat rapi. Size M ny Pas d anak aku U12 thn.. Ada lebel nya. Next beli lg. Trimakasihhh
desi_nugroho16,"Pengirimanya cepat ,pengemasannya jga rapi ,bajunya bagus ngga bikin kecewa pokoknya ,makasiiiiiiiiiiuiiiiiii"
z*****a,"Barang sudah diterima, untuk bahan b ajah sih tapi suami tetep seneng, alhamdulillah. sukses terus erigo.
thankyouuu..😊😊"
r*****i,Oke bangettt pengiriman cepat next order lagi.............
khalisa17tea,Barangnya ok cepat sampai bagus sesuai terimakasih barang cepat sampai bagus pula keren
dindasuhaib21,Pengiriman cepat sesuai pesanan tp sangat disayangkan ini ada jahitan tidak rapi yg menyebabkan bolong😭
p*****3,"Bahan baguss ,pengemasann sangat cepat  dan harga terjangkau"
kaysa2,"Toko langganan si Abang... Dy dah cocok sama brand ini, toko amanah.. nyari pas lagi flashsale"
dewiyul881,"Bagusssss bajunya, sesuai lah sama harganya, sablonannnya juga rapi , lumayan puas lah ,warnanya juga bagus."
fetriyanti110299,Kualitas produk sangat bangus barang juga cepat sampai
w*****7,"Maaf gambar ngga sesuai, barangnya udah diambil pembeli🙏🙏🙏"
s*****d,Mantap mantap mantap.. Mendarat dengan sempurna dan luar biasa..  Sukak sukak sukak pokoknya....
a*****6,"Produk sudah saya terima, sudah sesuai pesanan. Maaf foto & video tdk sesuai. Terimakasih Ka, sukses selalu 😊"
riendru,Barangnya udah sampai bagus... Susah kali nyari size gede..
i*****e,"makasih kakak paket mya sudah sampai
kaos nya bagus bahan nya adem
dapet bonus sticker lucu pula
makin jaya ya erigo
makin sukses"
mochridwan2011,"Maaf baru kasih penilaian karna kerja lembur, semoga lancar selalu usahanya bang, amiiin"
v*****i,"Produk erigo mah ga diragukan lg,,tolong adain size anak jg"
ikeyulianti80,"Bahan adem,lembut,sablon bagus,pengiriman cepat,penjual ramah"
rowman376,"Alhamdulillah udh dtg lgi pesenan sya yg ke 3x nya sudah berlangganan soalnya  produknya bagus"" smua pokonya pyas deh belanja dsni makasih seller mksih abang kurirnya baik banget."
m*****n,"Mantep sih bgt beet… suka dah. Ukurannya yg di pilih pas dibadan, bahannya lembut adem gt. yuhuuu thanks seller"
mmasshhurrii,"100% original, sesuai harapan dan bisa menjadi berlangganan"
moeztlay86,"Barang pesanan sudah diterima dengan baik, ini order yang kesekian kali nya .. sukak karena bahan nya adem dan nyaman dipakai . Pengiriman cepat dan kurir nya ramah . Bisa jadi langganan 😊"
m*****n,Alhamdulillah paketx udah datang dengan selamat packing rapi 👍 barang rekomended. Bagus...
rdy.am,"Mantep pokoknya. Udah diambil sama paman saya, dia suka bener sampe pesen lagi. Cepet juga sampenya, favvvv bingittt. Nexttt pasti beli lagi karena emg bahannya juga bagusss. Thxxx Ergiooo❤️❤️ Adminnya juga the best parah siiiii gilaaa."
g*****o,"Pengiriman cepat, packing aman, bagus kaosnya, ukurannya juga pas"
indrimeliiia,"Bagus banget ternyata pas dapat harga diskon lagi, kapan"" order lagi deh👍👍"
ameliacahyanip,"baguss, bahan seperti kaos pada umumnya dan lebih lembut👍good"
2*****i,"Original. Kualitas produk baik, harga murah, semoga bermanfaat."
agnezgladiollend,Dapet harga diskon jadi bisa dapet barang premium dengan harga minimum 😁
t*****i,"Sesuai sama yg digambar, bahan kaosnya adem dan lembut, Thank u seller 💞💞💞"
d*****y,"KUALITAS NYA BAGUSSSSS, BAHANNYA ADEMMM, I LIKE THIS XIXIXI"
d*****y,"Duh cakep banget bahannya adem deh enak bener di pegang, masih degdegan semoga muat ama doi ya huhu
Pengemasannya cepet banget deh
Btw thankyou erigo💜"
wardah.erza09,"As for the duties of school janitors, school guards, and students of SMP N 1 Palembang as follows:
A. TUGAS POKOK DAN FUNGSI PESURUH SEKOLAH
1.	Melaksanakan tugas kebersihan
2.	Menyediakan makan/minum untuk Kepala Sekolah dan Tamu Sekolah
3.	Meminta dan menerima tugas dari kepala sekolah
4.	Membantu"
e*****i,"selalu the best erigo ini, bahan nyaa super premium dan haluss adem, sablon gambar juga baguss premium punyaa, makasih juga minta 1 plastik packing erigo di kasih, thanks erigo"
markawi20,"Coba” beli produk erigo ternyata sebagus ini, mantap. Bakal bisa bersaing ini dengan produk” luar. Terus berkembang erigo
#cintaiprodukindonesia"
lythaazkaalfaro,harga terjangkau bahan nyaa bagus ... next bakalan beli lagii
nabilamaharaniaaa,"Terimakasih respon sangat baik🤗semoga pacar saya sukaa😍pengiriman sangat lumayan mungkin karnaa lagi banyak pesenan kali yah,pokonya sangat baikkk sekali😁🤗"
auliarevinaa_,Selalu rekomended sih beli di sini produk original kualitasnya juga bagus
c*****0,Manntttuuuullllllll seeekkkkaaaaallliiiiiiiiii👍👍👍👍👍👍
okthaviearhienha,"Realpict,,, pengiriman juga cepat, warna sesuai, top dah pokoknya, thanks shopee"
a*****4,"Assalamualaikum Bu,maaf mengganggu waktunya 🙏🏻
Mau tanya kalo saya cap tiga jarinya jam 10an boleh tdk ya bu?soalnya saya ada perlu kalo jam segitu. Terima kasih 🙏🏻


Gitu kah"
o*****1,"Bagus bahan ya, adem, dan Lembut, tidak panas. Sangat suka."
budisantoso1267,"Erigo mah pasti mantul barangnya,,Sudah beberapa kali beli produk Erigo,,Top.jaya terus erigo,,tingkatkan lagi diskonya hehehe 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼"
nadiatrisnaayu8,"Pesan kedua kalinya untuk kado. Alhamdulillah, suka bgt✨ yg dapat kado juga pengen nambah beli lagi sangking bagusnya😂 pengirimannya cepet bgt."
kezialasmarito,Weekend tetep ngirim paket 👍 thank youuuu sukak banget next time pesan lagi
r*****9,"Bahannya bagusss ,nyaman di pakai juga ,suka gitu sama model nua hhe"
idarosidanov_,"KayaNya sih bagus , maap soal nya barang udah di kasih ke sodara,,. Dan katanya ya sesuai.. maksih erigo.. 🙏🙏🙏"
r*****i,"ukuran m yaa ini, agak kecil huhu, takut Gacukup,untuk harga murah kok,pengiriman cepet bangett"
kakyhun_26,"Bahan agak tipis,tapi sablon bagus lumayan lah sesuai dengan harga lumayan dapat promo hihiww makasi erigo"
m*****a,"cuttingnya kecil, untung ambil XXL dan dibadan suami yg biasa M/L pake ukuran XXL malah cocok pas gitu.. saran klo biasa ukuran L naikin jd XL atau XXL, thanks seller n shopee💜"
m*****y,"Trima kasih seller,  pengiriman cepat, packing rapi,  bahannya suka krn adem,  lumayanlah ya,  next order lagi model lain"
yunizul1212,"Yey barang sudah sampai , lumayanlah untuk harga segitu .kurir nya ramah . terimakasih seller."
kiikyat,"bagus bgt🥰🥰 
pesenin buat adik, eh kok malah akunya yg jatuh cinta🥺"
anaastuti21,"Pesanan sudah sampai dengan selamat dan bagus, terimakasih"
e*****n,"Produk sesuai pesanan
Packingan rapi 
Pengiriman sangat cepat"
iin.yuni,"Bagussss, mahan ademmm, teballll, trus pengirim jg sgt cpet, ukuran pas xxl, mmg sgtu,mksh"
nurul00fadhillah,"Pengiriman cepat, asli, dan bagus bngtttt bahannyaaa , makasiiii"
a*****6,"Asliii adem banget dipake, bahannya ringan juga lembut. Bagus deh"
yumechantique,"Kain halus dan tidak tipis. Nyaman dipakai, sesuai ekspektasi, erigo memang bagus sih daridlu udah langganan barang erigo di indieclothing 😁😁 
Harga murah tapi kualitas tidak murahan."
elsa_cahyara,"Baguss bangetttt, kirain bakal kegedean . Ternyata pas bangetttt. Makaciiiiii"
k*****_,"sesuai pesanan alhamdulillah,buat misua semoga sukaaaaa"
noe211328,"Erigo Terrrr the best langganan trs, adminnya ramah, pengiriman cepat... TOP poko na mh👍👍"
fs.bella,"Baguss banget, pengiriman cepat, pas sekali di ukuran saya... Terimakasih..."
avindanurhanifah,Alhamdulillah barang udah sampe makasih banyakkkkk next order lagiiii
evi_apriliana,"yeay maacih yah erigo.. cepat sampainya.. sukses selalu dan makin bekembang aamiin❤️.....jangan capek buat adain diskonan ,"
n*****o,Barang bagus sesuai dengan harga yang merakyat. Designnya lucu
fannimahesaranisoemantri,"Beli buat suami, alhamdulillah dia suka walaupun rada sempit sedikit. Semoga nanti kalo udah di cuci rada melar. Bahannya juara!🥰"
n*****n,Bahannya ademm. Sablonnya juga oke. Pokoknya sukaa banget deh. Pas buat BB 43
n*****z,cepet bgt pengiriman padahal lg 10.10 keren bgt tks erigooooo
