author,comment
c*****6,"Alhandulillah, yang di nanti2. masyallah 😍
berkat 17.merdeka bisa borong produknya erigo😍😍
udah lamaa juga pengen beli prduknya erigo, akhrnya kturutan juga. alhasil gak nyesel. barangnya bgus. Bahannya adem. packingnya juga rapi😍
terimakasih seller, insyallah next order lagi"
ayuhanungsekarmawarni,"Pengirimannya cpt bgt
Bahannya bagussss sesuai harga

Love erigo❤️❤️❤️"
a*****9,"Terimakasih seller... Realpict bgt sumpah i like it...i like it ... I like it... Good bgt ... 
Insyaallah ada banyak Rezeky beli lagiiii...
Cepet bgt Sampainya..."
dayangnandasari,"My first t-shirt that i have from erigo, love banget😭😭❤️❤️, awalnya ngasal ambil ukuran xxl di bb ku 65 tb 163. Ternyata pas banget gk ngetet doongg mana pas flash sale😭💋"
_*****1,Alhamdulillah paketnya dah nyampe... cepat pengiriman udah sering beli di toko ini toko terpercaya pokok ya.. cuma yang ini nggak ada stikernya..
e*****a,"Syuka belanja di sini.. Sellernya ramah, amanah, dan fast respon.. Begitu dipesan langsung dikirim hari itu juga.. Kaosnya bagus banget.. Pas harganya lagi diskon.. Thanks seller, lain kali pasti order lagi.. Thanks juga untuk shopee n kurir langganan.."
f*****2,"Alhamdulillah,,sudah sampai barangnya,,makasih ,barang original,bahannya juga bagus,adem ,,harga membawa rupa, makasih"
n*****3,Bagus banget bahannya lembut
emxr1wt4kp,"Alhamdulillah bagus baju nya lembut,tebel best erigo"
a*****i,"Puas belanja di siniiiiii, alhamdulilah barang nya bagusssss....."
s*****5,"Bagussss, suka bangetttt, buat doi nih hahahaha mudahan ada dia juga sukaaa, packingnya aman, pokoknya the bestlahh tarrr mau beli yang lain lagii ahh"
ramdaniriski09,"Rekomen banget pokoknya buat yang lagi nyari kaos, bagus deh pokoknya, maaf barang nya belum sempet di foto soalnya masih kerja☺️🙏🏻 sukses terus seller, lope sekebon ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
